CMDLINE python -m bench.bench_snapshotter memory /Users/joe.lynch/Aiven/ClickHouse/contrib/ /tmp/snapshot_dst 5
MEM 0.218750 1695383150.9133
MEM 16.453125 1695383151.0269
MEM 18.687500 1695383151.1344
MEM 21.484375 1695383151.2468
MEM 34.515625 1695383151.3590
MEM 44.343750 1695383151.4710
MEM 45.687500 1695383151.5827
MEM 47.546875 1695383151.6944
MEM 48.437500 1695383151.8060
MEM 49.265625 1695383151.9178
MEM 50.156250 1695383152.0295
MEM 51.046875 1695383152.1416
MEM 51.937500 1695383152.2542
MEM 52.703125 1695383152.3630
MEM 55.468750 1695383152.4701
MEM 56.281250 1695383152.5818
MEM 59.000000 1695383152.6937
MEM 59.703125 1695383152.8074
MEM 60.531250 1695383152.9196
MEM 61.343750 1695383153.0317
MEM 62.171875 1695383153.1440
MEM 62.890625 1695383153.2524
MEM 63.687500 1695383153.3643
MEM 64.515625 1695383153.4764
MEM 65.343750 1695383153.5881
MEM 66.203125 1695383153.6997
MEM 67.078125 1695383153.8114
MEM 67.828125 1695383153.9230
MEM 68.656250 1695383154.0333
MEM 69.234375 1695383154.1423
MEM 69.937500 1695383154.2541
MEM 70.671875 1695383154.3663
MEM 71.515625 1695383154.4779
MEM 72.328125 1695383154.5873
MEM 73.203125 1695383154.6995
MEM 73.984375 1695383154.8073
MEM 74.718750 1695383154.9152
MEM 75.578125 1695383155.0268
MEM 76.437500 1695383155.1384
MEM 77.375000 1695383155.2500
MEM 78.218750 1695383155.3616
MEM 78.968750 1695383155.4733
MEM 79.921875 1695383155.5834
MEM 80.781250 1695383155.6954
MEM 85.625000 1695383155.8074
MEM 86.421875 1695383155.9201
MEM 87.296875 1695383156.0322
MEM 91.812500 1695383156.1445
MEM 92.718750 1695383156.2566
MEM 93.609375 1695383156.3688
MEM 94.390625 1695383156.4764
MEM 95.265625 1695383156.5885
MEM 95.921875 1695383156.7008
MEM 96.656250 1695383156.8138
MEM 97.359375 1695383156.9259
MEM 98.203125 1695383157.0381
MEM 98.937500 1695383157.1504
MEM 99.859375 1695383157.2624
MEM 100.578125 1695383157.3744
MEM 101.421875 1695383157.4854
MEM 102.234375 1695383157.5972
MEM 103.171875 1695383157.7076
MEM 104.234375 1695383157.8187
MEM 105.109375 1695383157.9305
MEM 106.093750 1695383158.0426
MEM 106.718750 1695383158.1506
MEM 107.921875 1695383158.2625
MEM 109.281250 1695383158.3743
MEM 110.000000 1695383158.4863
MEM 110.781250 1695383158.5982
MEM 111.562500 1695383158.7102
MEM 112.312500 1695383158.8222
MEM 113.125000 1695383158.9344
MEM 114.046875 1695383159.0464
MEM 114.921875 1695383159.1585
MEM 115.750000 1695383159.2704
MEM 116.578125 1695383159.3821
MEM 117.421875 1695383159.4941
MEM 118.281250 1695383159.6023
MEM 118.921875 1695383159.7139
MEM 119.359375 1695383159.8256
MEM 120.140625 1695383159.9372
MEM 121.078125 1695383160.0493
MEM 129.656250 1695383160.1613
MEM 130.593750 1695383160.2732
MEM 131.453125 1695383160.3852
MEM 132.296875 1695383160.4971
MEM 133.296875 1695383160.6091
MEM 134.078125 1695383160.7210
MEM 134.937500 1695383160.8332
MEM 135.984375 1695383160.9454
MEM 136.828125 1695383161.0574
MEM 137.609375 1695383161.1693
MEM 138.328125 1695383161.2818
MEM 139.171875 1695383161.3943
MEM 139.984375 1695383161.5030
MEM 140.765625 1695383161.6151
MEM 141.671875 1695383161.7271
MEM 142.562500 1695383161.8347
MEM 143.390625 1695383161.9441
MEM 144.359375 1695383162.0558
MEM 152.640625 1695383162.1659
MEM 153.578125 1695383162.2776
MEM 154.687500 1695383162.3890
MEM 155.375000 1695383162.5009
MEM 156.140625 1695383162.6125
MEM 157.078125 1695383162.7242
MEM 158.015625 1695383162.8358
MEM 159.046875 1695383162.9473
MEM 159.875000 1695383163.0587
MEM 160.875000 1695383163.1702
MEM 161.750000 1695383163.2817
MEM 162.765625 1695383163.3932
MEM 163.671875 1695383163.5047
MEM 164.578125 1695383163.6162
MEM 165.578125 1695383163.7278
MEM 166.531250 1695383163.8393
MEM 167.421875 1695383163.9476
MEM 168.093750 1695383164.0598
MEM 168.921875 1695383164.1669
MEM 169.765625 1695383164.2787
MEM 170.687500 1695383164.3904
MEM 171.453125 1695383164.5021
MEM 172.187500 1695383164.6095
MEM 173.015625 1695383164.7212
MEM 173.750000 1695383164.8282
MEM 174.546875 1695383164.9398
MEM 175.546875 1695383165.0499
MEM 176.437500 1695383165.1596
